Jaar,Bijdragen/J
2000,"79 366,00"
2001,"80 693,49"
2002,"82 043,18"
2003,"83 415,44"
2004,"84 810,66"
2005,"86 229,21"
2006,"87 671,49"
2007,"89 137,90"
2008,"90 628,83"
2009,"92 144,70"
2010,"93 685,92"
2011,"95 252,92"
2012,"96 846,13"
2013,"98 466,00"
2014,"100 112,95"
2015,"101 787,45"
2016,"103 489,96"
2017,"105 220,95"
2018,"106 980,89"
2019,"108 770,26"
2020,"110 589,57"
2021,"112 439,30"
2022,"114 319,98"
2023,"116 232,11"
2024,"118 176,22"
2025,"120 152,85"
2026,"122 162,54"
2027,"124 205,85"
2028,"126 283,33"
2029,"128 395,56"
2030,"130 543,12"
2031,"132 726,60"
2032,"134 946,60"
2033,"137 203,74"
2034,"139 498,62"
